sentence,sentence_id,cue_span,scope_span,target
"A nongenomic mechanism for progesterone-mediated immunosuppression: inhibition of K+ channels, Ca2+ signaling, and gene expression in T lymphocytes.",9802971,NaN,NaN,0
CD3-epsilon expression is controlled by a downstream T lymphocyte-specific enhancer element.,1989880,NaN,NaN,0
"Self renewal of normal erythroid progenitors is induced by the receptor tyrosine kinase c-ErbB, whereas other receptors (c-Kit/Epo-R) regulate erythroid differentiation.",8790376,NaN,NaN,0
We argue that in vivo RelA homodimers are likely to play a dominant role in TNF-alpha-induced ICAM-1 transcription in monocytic cells.,9442377,NaN,NaN,0
"TCR signaling was triggered by treating Jurkat T cells with PHA or anti-CD3 Abs, and NF-kappaB activation was monitored by electrophoretic mobility shift assays and/or by kappaB-dependent reporter assays.",8955173,NaN,NaN,0
"Our results demonstrate that in resting and PMA-activated human PBL, I(kappa)B(alpha) is present in the nucleus in an apparently inactive form unable to disrupt NF-kappaB binding from DNA.",10102628/X538.10.2,"[(143, 149)]","[115, 187]",1
Alternative mechanisms include the possibility that NF-ATc operates on some cytoplasmic anchor or that other proteins that are controlled by calcineurin carry out the nuclear import of NF-ATc.,7887301,NaN,NaN,0
"One enigmatic aspect of GATA factor expression is that several GATA proteins, which ostensibly share the same DNA-binding site specificity, are coexpressed in erythroid cells.",8504932,NaN,NaN,0
"Thus, the regulation of the gene coding for the main T cell growth factor changes irreversibly after the first encounter of T cells with antigen.",8325322,NaN,NaN,0
Stable transfectants of HB24 were established that expressed high levels of HB24 mRNA and possessed an altered phenotype suggestive of activated T cells.,1349016,NaN,NaN,0
"To address the role of Oct-2 in the T-cell lineage, we studied the expression of Oct-2 mRNA and protein in nontransformed human and mouse T cells.",1620122,NaN,NaN,0
"Maximal increase in IL-2 transcription was recorded with CHO-DR/B7/LFA-3, suggesting a cooperative effect of B7 and LFA-3 at the transcriptional level.",7543515,NaN,NaN,0
Biphasic control of NF-kappa B activation induced by the triggering of HLA-DR antigens expressed on B cells.,9195127,NaN,NaN,0
"Upon cotransfection into non-T cells, TCF-1 could transactivate through its cognate motif.",1989880,NaN,NaN,0
"Because of cell type-specific alternative messenger RNA splicing, B-cell Fc gamma RII contains an insertion of 47 amino acids that participates in determining receptor function in these cells.",1535455,NaN,NaN,0
"In order to elucidate possible mechanisms underlying endothelial cell activation by xenogeneic serum, we focussed on transcription factor NF-kappa B, a central regulator for the induction of different genes, including adhesive molecules and chemoattractants.",9507734,NaN,NaN,0
Virus isolated from IFNA-producing cells was able to replicate in the U937 cells but did not replicate efficiently in U937 cells transduced with the IFNA gene.,7983701/X834.10.1,"[(89, 92)]","[89, 158]",1
"LPS-stimulated monocytes showed an increased expression of p105 mRNA, the precursor of the p50 subunit of the transcription factor nuclear factor-kappa B (NF-kappa B), while no effect was noticed on the expression of p65 mRNA.",8641346/X917.6.1,"[(174, 176)]","[174, 225]",1
